variant,idea,risk_pct,levered,era,cagr,sharpe,max_dd,total_return,ann_vol,mean_gross,max_gross,spy_cagr,spy_dd,qqq_cagr,qqq_dd,cagr_2x,cagr_3x,verdict,flags
213,IDEA-109,0.005,False,2001-2009,0.030013721886284817,0.1132455613025827,-0.23066901467572698,0.3041641935189048,0.09720131103987095,0.5706935094597418,0.9558640104710805,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,0.028895857609292586,0.027779147826086703,PASS,
214,IDEA-109,0.005,False,2010-2022,0.08182289955102773,0.7482300117584164,-0.12889579861654699,1.7755720804602038,0.10430097268487083,0.7320551486593349,1.0,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.08032690200206338,0.07883285869999046,FAIL,
215,IDEA-110,0.005,True,2001-2009,-0.00550019685499159,-0.049850715602732236,-0.5058173625719399,-0.048322417664017236,0.1950816191582198,0.9529504439134457,1.6743626037934596,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,-0.008701100561165243,-0.011891904302984924,FAIL,
216,IDEA-110,0.005,True,2010-2022,0.12299811110726733,0.7773241746057334,-0.23119258802383325,3.5074171338910585,0.15745005042092383,0.9951620729441438,2.145176550360773,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.11863628373822355,0.11429109671371607,PASS,
217,IDEA-109,0.0075,False,2001-2009,0.028717741098951644,0.1056069573471117,-0.33253181087874395,0.2895022202273094,0.1383297061825421,0.7775241748641013,1.0,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,0.02745100966412317,0.026185739245463413,PASS,
218,IDEA-109,0.0075,False,2010-2022,0.10937072347965326,0.795309172880948,-0.1562671621879782,2.846827645558524,0.13426766812886926,0.9007264405878321,1.0,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.10791591770945996,0.106462865119346,FAIL,
219,IDEA-110,0.0075,True,2001-2009,-0.013137849246161681,-0.059629980544052524,-0.5752871709315237,-0.11198072366469758,0.21680230292537866,0.9863868748242632,1.8693600463893123,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,-0.01680811509763691,-0.02046498122208329,FAIL,
220,IDEA-110,0.0075,True,2010-2022,0.13355671012430248,0.8165611307444038,-0.21980386792696294,4.089581276105175,0.16230414751923217,0.9903502248821224,2.2517805331468144,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.12954626864116703,0.12554973197693275,PASS,
221,IDEA-109,0.01,False,2001-2009,0.023272164395873318,0.08001493216113789,-0.39633643503475524,0.22948208815903892,0.16314699647931746,0.8749906356004148,1.0,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,0.022023802549269833,0.020776846071385746,PASS,
222,IDEA-109,0.01,False,2010-2022,0.11805059950116381,0.7948722212086263,-0.1833129253094814,3.256350930085035,0.14627593644762357,0.9492378951993508,1.0,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.11663368694814724,0.11521840254238636,FAIL,
223,IDEA-110,0.01,True,2001-2009,-0.01587426426889782,-0.06096814914978202,-0.595021404587317,-0.1338498452971285,0.225601129928386,0.9786839160144655,1.8994883505001208,0.000723472997901542,-0.5542291211691524,-0.022873473852424553,-0.7073698428013,-0.019387615863232566,-0.022888668268483903,FAIL,
224,IDEA-110,0.01,True,2010-2022,0.13143418532161366,0.7971000336787191,-0.23297752479098566,3.9672587148533047,0.16433663836618972,0.979025808948523,2.0934161733786047,0.11950335301456216,-0.3204897694856761,0.153969478241061,-0.3669303629848333,0.12781219586245407,0.12420154504013015,PASS,
