variant,formation,skip,topn,weighting,era,total_return,cagr,sharpe,max_dd,bh_return,bh_max_dd,trades_per_yr,verdict,flags
118,126,0,1,EW,2000-2009,0.5114301376323296,0.04225616194002546,0.19192467794327173,-0.4880601040306576,0.3794910050322349,-0.5260784400875742,4.609145129224652,PASS,
119,126,0,1,EW,2010-2022,4.194816249415101,0.13534538769655335,0.6692652011797926,-0.30721338374192575,3.4266694066237253,-0.34611039927581466,5.238764903699175,PASS,
120,126,0,1,IV,2000-2009,0.5114301376323296,0.04225616194002546,0.19192467794327173,-0.4880601040306576,0.3794910050322349,-0.5260784400875742,4.609145129224652,PASS,
121,126,0,1,IV,2010-2022,4.194816249415101,0.13534538769655335,0.6692652011797926,-0.30721338374192575,3.4266694066237253,-0.34611039927581466,5.238764903699175,PASS,
122,126,0,2,EW,2000-2009,0.3771547300480158,0.0325852203089696,0.1417492093336528,-0.4859597565661842,0.3794910050322349,-0.5260784400875742,7.31451292246521,FAIL,
123,126,0,2,EW,2010-2022,3.665075242608286,0.1259764630446527,0.7110500214826727,-0.2766947173737889,3.4266694066237253,-0.34611039927581466,7.010700091715072,PASS,
124,126,0,2,IV,2000-2009,0.21090835630396088,0.019360147869982525,0.08456988056701244,-0.5121669605069326,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
125,126,0,2,IV,2010-2022,3.276180397398056,0.11845102631209214,0.6887560737664639,-0.2720392911549795,3.4266694066237253,-0.34611039927581466,12.018343014368696,FAIL,
126,126,0,3,EW,2000-2009,0.39144214618313855,0.033653637487572885,0.14019090434805678,-0.497182519132234,0.3794910050322349,-0.5260784400875742,7.5149105367793245,PASS,
127,126,0,3,EW,2010-2022,3.828833491665222,0.1289732634198606,0.7667228052986983,-0.29031267349744694,3.4266694066237253,-0.34611039927581466,8.012228676245797,PASS,
128,126,0,3,IV,2000-2009,0.21169028484033903,0.01942608345319341,0.07321199525386385,-0.5038318382990976,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
129,126,0,3,IV,2010-2022,3.4482009679074386,0.12185455138618018,0.7462984538704518,-0.2901401067786912,3.4266694066237253,-0.34611039927581466,12.018343014368696,PASS,
130,126,21,1,EW,2000-2009,0.2920770445622758,0.02600851722144326,0.1381689239344194,-0.5161727121403703,0.3794910050322349,-0.5260784400875742,4.909741550695825,FAIL,
131,126,21,1,EW,2010-2022,4.278241699708061,0.1367397601157463,0.6686968774116991,-0.30721338374192564,3.4266694066237253,-0.34611039927581466,5.39284622439621,PASS,
132,126,21,1,IV,2000-2009,0.2920770445622758,0.02600851722144326,0.1381689239344194,-0.5161727121403703,0.3794910050322349,-0.5260784400875742,4.909741550695825,FAIL,
133,126,21,1,IV,2010-2022,4.278241699708061,0.1367397601157463,0.6686968774116991,-0.30721338374192564,3.4266694066237253,-0.34611039927581466,5.39284622439621,PASS,
134,126,21,2,EW,2000-2009,0.22909359177117206,0.020883784351271917,0.09579141016982619,-0.48098720500592407,0.3794910050322349,-0.5260784400875742,7.5149105367793245,FAIL,
135,126,21,2,EW,2010-2022,4.20398401849985,0.13549962450564768,0.7353420300568393,-0.3247618490878713,3.4266694066237253,-0.34611039927581466,6.548456129623968,PASS,
136,126,21,2,IV,2000-2009,0.10099650001535565,0.009687317459632583,0.046212766713457226,-0.4794290453379687,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
137,126,21,2,IV,2010-2022,3.877500514477328,0.12984580193523043,0.7202069309313704,-0.3278894959659009,3.4266694066237253,-0.34611039927581466,12.018343014368696,PASS,
138,126,21,3,EW,2000-2009,0.3797033336288893,0.032776534280060554,0.13456239745288626,-0.4316021661405006,0.3794910050322349,-0.5260784400875742,7.615109343936382,PASS,
139,126,21,3,EW,2010-2022,3.9287840428954874,0.1307565987926247,0.7625528912650469,-0.2991613259480762,3.4266694066237253,-0.34611039927581466,7.704066034851728,PASS,
140,126,21,3,IV,2000-2009,0.2183282637855748,0.019984289487007034,0.07343603955654349,-0.41624239146082465,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
141,126,21,3,IV,2010-2022,3.592145378838018,0.12461046678849241,0.7483224913614529,-0.2992219548007018,3.4266694066237253,-0.34611039927581466,12.018343014368696,PASS,
142,189,0,1,EW,2000-2009,0.6143916569805306,0.04916125541797767,0.2163843135356833,-0.5061322751271802,0.3794910050322349,-0.5260784400875742,4.2083499005964216,PASS,
143,189,0,1,EW,2010-2022,4.460760097049945,0.1397207769459412,0.679185265204813,-0.3072133837419261,3.4266694066237253,-0.34611039927581466,4.23723631916845,PASS,
144,189,0,1,IV,2000-2009,0.6143916569805306,0.04916125541797767,0.2163843135356833,-0.5061322751271802,0.3794910050322349,-0.5260784400875742,4.2083499005964216,PASS,
145,189,0,1,IV,2010-2022,4.460760097049945,0.1397207769459412,0.679185265204813,-0.3072133837419261,3.4266694066237253,-0.34611039927581466,4.23723631916845,PASS,
146,189,0,2,EW,2000-2009,0.22083234259859852,0.02019415373198541,0.08935249974727327,-0.49169954187494425,0.3794910050322349,-0.5260784400875742,6.613121272365806,FAIL,
147,189,0,2,EW,2010-2022,3.2248047694882667,0.11741000901728249,0.6603108846433948,-0.3131870596333508,3.4266694066237253,-0.34611039927581466,5.932130846835831,FAIL,
148,189,0,2,IV,2000-2009,0.103338660073089,0.009902330495694445,0.04307896693718308,-0.4818228511138666,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
149,189,0,2,IV,2010-2022,3.0121751126984755,0.1129733987863093,0.6495277480345814,-0.31499119329493597,3.4266694066237253,-0.34611039927581466,12.018343014368696,FAIL,
150,189,0,3,EW,2000-2009,0.11511214208913234,0.010976968229109652,0.038721862708303426,-0.4639144358679663,0.3794910050322349,-0.5260784400875742,7.114115308151094,FAIL,
151,189,0,3,EW,2010-2022,4.268852159008398,0.13658384331683893,0.7982435391021383,-0.288279474810444,3.4266694066237253,-0.34611039927581466,6.856618771018038,PASS,
152,189,0,3,IV,2000-2009,-0.06813547580285062,-0.007045873524879065,-0.051885510340747114,-0.4546270257805215,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
153,189,0,3,IV,2010-2022,3.8409293668450353,0.12919088261637346,0.7783307280603513,-0.2874674057965032,3.4266694066237253,-0.34611039927581466,12.018343014368696,PASS,
154,189,21,1,EW,2000-2009,0.4123004997616937,0.035195839461900524,0.17498056619710683,-0.5657133226189839,0.3794910050322349,-0.5260784400875742,3.907753479125249,FAIL,
155,189,21,1,EW,2010-2022,4.046028292606505,0.13280643561578853,0.6430881865568826,-0.3116415554765767,3.4266694066237253,-0.34611039927581466,4.083154998471416,PASS,
156,189,21,1,IV,2000-2009,0.4123004997616937,0.035195839461900524,0.17498056619710683,-0.5657133226189839,0.3794910050322349,-0.5260784400875742,3.907753479125249,FAIL,
157,189,21,1,IV,2010-2022,4.046028292606505,0.13280643561578853,0.6430881865568826,-0.3116415554765767,3.4266694066237253,-0.34611039927581466,4.083154998471416,PASS,
158,189,21,2,EW,2000-2009,0.2098220056887281,0.01926847848960711,0.09633793906924316,-0.48680227986182845,0.3794910050322349,-0.5260784400875742,6.813518886679921,FAIL,
159,189,21,2,EW,2010-2022,2.9375013778500287,0.11136367369895783,0.6155496989865402,-0.3247618490878712,3.4266694066237253,-0.34611039927581466,5.469886884744727,FAIL,
160,189,21,2,IV,2000-2009,0.08022725584848844,0.007762459220723494,0.047480478463293604,-0.48158025075925104,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
161,189,21,2,IV,2010-2022,2.7061476173201613,0.10619115490299347,0.5990554458396384,-0.3278894959659011,3.4266694066237253,-0.34611039927581466,12.018343014368696,FAIL,
162,189,21,3,EW,2000-2009,0.3177529440769442,0.028033396679376876,0.11843052052866272,-0.4858841402685188,0.3794910050322349,-0.5260784400875742,7.31451292246521,FAIL,
163,189,21,3,EW,2010-2022,3.136231239347259,0.11558750603707812,0.6755637148231542,-0.2954535213181806,3.4266694066237253,-0.34611039927581466,6.7795781106695205,FAIL,
164,189,21,3,IV,2000-2009,0.19883738476887713,0.01833738048457234,0.07118654280268258,-0.46326212276887746,0.3794910050322349,-0.5260784400875742,12.02385685884692,FAIL,
165,189,21,3,IV,2010-2022,3.0553716446156383,0.11389199674966188,0.6834290717806208,-0.2927028255155202,3.4266694066237253,-0.34611039927581466,12.018343014368696,FAIL,
166,252,0,1,EW,2000-2009,0.4183249970190559,0.03563745743151192,0.17014713502221057,-0.5407470772534322,0.3794910050322349,-0.5260784400875742,3.5069582504970183,FAIL,
167,252,0,1,EW,2010-2022,3.827569862811276,0.1289505002148721,0.6304598215098651,-0.30721338374192575,3.4266694066237253,-0.34611039927581466,4.083154998471416,PASS,
168,252,0,1,IV,2000-2009,0.4183249970190559,0.03563745743151192,0.17014713502221057,-0.5407470772534322,0.3794910050322349,-0.5260784400875742,3.5069582504970183,FAIL,
169,252,0,1,IV,2010-2022,3.827569862811276,0.1289505002148721,0.6304598215098651,-0.30721338374192575,3.4266694066237253,-0.34611039927581466,4.083154998471416,PASS,
170,252,0,2,EW,2000-2009,0.5890316424567474,0.04749809333230637,0.20012403344199778,-0.4514237986382089,0.3794910050322349,-0.5260784400875742,6.112127236580517,PASS,
171,252,0,2,EW,2010-2022,3.1673340065377085,0.11623154986736739,0.6469041010841571,-0.3131870596333506,3.4266694066237253,-0.34611039927581466,5.932130846835831,FAIL,
