Date,blend
2010-01-04,0.005071104233596252
2010-01-05,0.0012965002481078259
2010-01-06,0.0005259534932208418
2010-01-07,-0.0013882464350104223
2010-01-08,0.01902146562263205
2010-01-11,-0.01708390004619862
2010-01-12,-0.0038983402665252495
2010-01-13,0.008443063477745028
2010-01-14,0.0010460283128211176
2010-01-15,-0.01063586119647775
2010-01-19,0.004347332323173156
2010-01-20,-0.005654470470805335
2010-01-21,-0.025021271729809717
2010-01-22,-0.017345599724710725
2010-01-25,-0.007215380483667036
2010-01-26,-0.00040613972891666023
2010-01-27,0.004438662690916844
2010-01-28,-0.01236390009463862
2010-01-29,-0.015514620370439654
2010-02-01,0.009971925887216404
2010-02-02,0.006842824983722177
2010-02-03,-0.003936221486450864
2010-02-04,-0.02011196347451267
2010-02-05,0.0015252199504047304
2010-02-08,0.003662036093855255
2010-02-09,0.0013509376725853411
2010-02-10,-0.0049616788994525565
2010-02-11,0.004503668863397758
2010-02-12,0.017253274039705002
2010-02-16,0.00988554412894729
2010-02-17,0.00034569050829928423
2010-02-18,0.006009728402903849
2010-02-19,0.006632707989124124
2010-02-22,-0.006604338035137523
2010-02-23,-0.005506278699523712
2010-02-24,-0.006755245189077854
2010-02-25,0.012379890652480217
2010-02-26,0.006651629095991143
2010-03-01,0.01301239931573135
2010-03-02,0.0012770232755373039
2010-03-03,0.0006526489495707638
2010-03-04,0.010788543358887027
2010-03-05,0.008802600089734238
2010-03-08,-0.0031860494494405428
2010-03-09,0.009811572326079647
2010-03-10,0.0033195510375783107
2010-03-11,0.013746152718691187
2010-03-12,-0.0059094416352102825
2010-03-15,0.004957211467843123
2010-03-16,0.010706768719720497
2010-03-17,0.0023131574852388475
2010-03-18,0.004820894681470094
2010-03-19,-0.016418443747473876
2010-03-22,0.021971760872638475
2010-03-23,0.005173836828835798
2010-03-24,0.007065078609065974
2010-03-25,-0.007201580192751761
2010-03-26,0.004308695026470967
2010-03-29,0.0038699589052221786
2010-03-30,-0.004301197313662493
2010-03-31,0.0033086636761182884
2010-04-01,-0.0004777385094628104
2010-04-05,0.0048649940289396745
2010-04-06,0.004188282733615727
2010-04-07,-0.007335466869579978
2010-04-08,0.00983994061742134
2010-04-09,0.00784445105042152
2010-04-12,-0.001517186804384322
2010-04-13,0.015311227328260353
2010-04-14,0.007987881450611276
2010-04-15,0.0023536376418449747
2010-04-16,-0.017103806683607753
2010-04-19,0.01362878690456706
2010-04-20,0.007828719586871877
2010-04-21,-0.014621892453301802
2010-04-22,0.02038756658086657
2010-04-23,0.010022783008547543
2010-04-26,-0.010767645911927517
2010-04-27,-0.01926342069378148
2010-04-28,0.0032004630347260794
2010-04-29,0.01671307956535311
2010-04-30,-0.0209394200456505
2010-05-03,-0.002656752171739998
2010-05-04,-0.03526009594847555
2010-05-05,-0.0034966023993055336
2010-05-06,-0.030493857814144612
2010-05-07,0.028189044730086297
2010-05-10,-0.00440612710030381
2010-05-11,0.008782661496076741
2010-05-12,0.009170258808357135
2010-05-13,-0.0179310259767593
2010-05-14,-0.008821666621468539
2010-05-17,0.006272805216206281
2010-05-18,-0.025742030966186408
2010-05-19,-0.019571948000951245
2010-05-20,-0.03042315122053007
2010-05-21,0.02699391733083778
2010-05-24,-0.028382665316808053
2010-05-25,0.03583312320425413
2010-05-26,0.0069395248651987875
2010-05-27,0.010756043390830555
2010-05-28,-0.016053962398181767
2010-06-01,-0.0024838221637372647
2010-06-02,0.020412182152386164
2010-06-03,-0.018057230551224518
2010-06-04,-0.012039239659999488
2010-06-07,-0.015370488038603726
2010-06-08,0.008992029337160538
2010-06-09,0.0004990311771868562
2010-06-10,0.006827103753678293
2010-06-11,0.021997915285213103
2010-06-14,-0.003672110340312715
2010-06-15,0.013767469803205923
2010-06-16,0.006413869731091851
2010-06-17,-0.001184054188631583
2010-06-18,0.010095086664224122
2010-06-21,-0.014184290689612503
2010-06-22,-0.014482964643317909
2010-06-23,-0.007213652287988962
2010-06-24,-0.007029355165717571
2010-06-25,0.0014976399596844602
2010-06-28,-0.018520974834179603
2010-06-29,-0.024059668986285886
2010-06-30,-0.007560126202915538
2010-07-01,-0.0016729941742798687
2010-07-02,0.006234543725052026
2010-07-06,-0.007959424707671022
2010-07-07,0.03414080628623328
2010-07-08,0.00042457106811700195
2010-07-09,0.004654130839952808
2010-07-12,0.012767076494806549
2010-07-13,0.004287648318408141
2010-07-14,0.0021017737225712697
2010-07-15,-0.0019837306210934813
2010-07-16,-0.02072193050403824
2010-07-19,-0.008464384782525286
2010-07-20,0.033014651194864256
2010-07-21,-0.007326359083071622
2010-07-22,0.008284811107918334
2010-07-23,0.014446852216120316
2010-07-26,0.011060148917934706
2010-07-27,-0.008273218156342304
2010-07-28,-0.0002641400370646269
2010-07-29,-0.019981266192360833
2010-07-30,0.02489082776934282
2010-08-02,0.004411855695303295
2010-08-03,-0.0007485091651779673
2010-08-04,0.00039396560146601634
2010-08-05,-0.0064333843986982865
2010-08-06,0.015235152195914281
2010-08-09,-0.00909807430237667
2010-08-10,-0.017967451990858297
2010-08-11,-0.03137077618950609
2010-08-12,0.00794377151517852
2010-08-13,-0.007456776773369594
2010-08-16,0.016304485228800278
2010-08-17,0.005207776906742982
2010-08-18,6.465031056172331e-05
2010-08-19,-0.015446859901137408
2010-08-20,0.009530089495685953
2010-08-23,-0.03217891225678242
2010-08-24,-0.016350273531693844
2010-08-25,0.021665468327554175
2010-08-26,-0.006659069282724817
2010-08-27,0.0052353984670785465
2010-08-30,-0.01464476664643701
2010-08-31,0.019781155794209825
2010-09-01,0.017414618757987298
2010-09-02,0.017149771782630524
2010-09-03,0.0001576397315515561
2010-09-07,-0.001420074989692617
2010-09-08,0.012604338341371138
2010-09-09,-0.003113130715476854
2010-09-10,0.011179270311381637
2010-09-13,0.0007437722596988871
2010-09-14,0.0008631315887569929
2010-09-15,0.004530482981672853
2010-09-16,0.009820257376804559
2010-09-17,-0.00026508958368915407
2010-09-20,0.013886949474067458
2010-09-21,-0.004946468389109869
2010-09-22,-0.005637144895872581
2010-09-23,0.016108166182318705
2010-09-24,0.009602754468246065
2010-09-27,-0.002844690918305607
2010-09-28,-0.001846653994280425
2010-09-29,0.004421596557566802
2010-09-30,-0.0036569131760158776
2010-10-01,-0.010079597873714938
2010-10-04,0.00606454127560547
2010-10-05,0.012312515547509967
2010-10-06,-0.0006856529924800349
2010-10-07,-0.00246240262732646
2010-10-08,0.007796805365127449
2010-10-11,-0.0017408185898647093
2010-10-12,0.013664959195321236
2010-10-13,0.001237496906374509
2010-10-14,0.008630676817424066
2010-10-15,0.0058943189100709266
2010-10-18,-0.01000692257861018
2010-10-19,0.0014167898339714846
2010-10-20,0.011223039183760254
2010-10-21,-0.002994066514814567
2010-10-22,0.009602647105114562
2010-10-25,-0.006892373763234082
2010-10-26,0.0006745007133270784
2010-10-27,0.011417631180255456
2010-10-28,-0.0030831387277155367
2010-10-29,0.0043648052380791755
