variant,idea,name,asset,trades_per_yr,total_return,cagr,sharpe,max_dd,bh_return,bh_max_dd,ret_2x,ret_3x,verdict,flags
1,IDEA-001,Golden Cross 50/200,SPY,1.0,1.44810907794893,0.0714102055184535,0.5326941638434396,-0.3204897694856758,3.338272032196654,-0.3204897694856761,,,FAIL,
2,IDEA-001,Golden Cross 50/200,QQQ,1.2,3.871958499151092,0.1297468470131959,0.7486329346984012,-0.2756312363680812,5.42886034099324,-0.3669303629848333,,,FAIL,
3,IDEA-001,Golden Cross 50/200,GLD,1.5,0.4382190786927802,0.028392606631318,0.241438289129606,-0.3621605015452239,0.5406328332689652,-0.4532452206750047,,,FAIL,
4,IDEA-002,200-day SMA filter,SPY,5.8,1.4549467465158328,0.0716404524873812,0.5899936583847446,-0.2438686928840385,3.338272032196654,-0.3204897694856761,,,FAIL,
5,IDEA-002,200-day SMA filter,EFA,9.6,0.3775438928575518,0.0249832666867693,0.220858764202332,-0.2398210691666444,0.713212722659522,-0.3400460804217242,,,FAIL,
6,IDEA-002,200-day SMA filter,GLD,9.6,0.27499155135264,0.0188924698759367,0.1661660124463067,-0.3374105928831372,0.5406328332689652,-0.4532452206750047,,,FAIL,
7,IDEA-002,200-day SMA filter,VNQ,9.2,0.7070303250822769,0.0420583026549701,0.3233170928154621,-0.2646473335786214,2.024584434645255,-0.3991820971029755,,,FAIL,
8,IDEA-003,12-mo TS momentum,SPY,0.7,2.1413973481994852,0.0921912034631236,0.6066877304454612,-0.3204897694856758,3.338272032196654,-0.3204897694856761,,,FAIL,
9,IDEA-003,12-mo TS momentum,GLD,1.8,0.4262662466345301,0.0277316148381254,0.2361264794692634,-0.3220518103855618,0.5406328332689652,-0.4532452206750047,,,FAIL,
10,IDEA-004,XS momentum 12-1 top decile,9 SPDR sectors,,,,,,,,,,ERROR,Encountered all NA values
11,IDEA-005,Dual momentum (Antonacci),SPY/EFA/AGG,1.5,1.2709410650234083,0.0652274147957059,0.4403171327976936,-0.320489769485676,1.2597673889875094,-0.2370414279468876,,,FAIL,
12,IDEA-006,MACD trend 12/26/9,SPY,20.7,1.1075282188610682,0.0591164571715028,0.5517634210336833,-0.1585541672766914,3.338272032196654,-0.3204897694856761,,,FAIL,
13,IDEA-006,MACD trend 12/26/9,GLD,20.3,0.2738842095346898,0.0188242679136358,0.1705455674203534,-0.2770755531069395,0.5406328332689652,-0.4532452206750047,,,FAIL,
14,IDEA-007,Parabolic SAR,GLD,20.4,0.3435384631109004,0.0230113985238111,0.1850417129686027,-0.4022901977030799,0.5406328332689652,-0.4532452206750047,,,FAIL,
15,IDEA-008,Triple EMA 4/9/18,GLD,18.4,0.3986706947525835,0.026185837128213,0.246814032314211,-0.2552544675266943,0.5406328332689652,-0.4532452206750047,,,FAIL,
16,IDEA-008,Triple EMA 4/9/18,SPY,20.6,0.677971907888439,0.040680844301725,0.4060452380717919,-0.1602954902803034,3.338272032196654,-0.3204897694856761,,,FAIL,
17,IDEA-009,52wk-high momentum rotation,9 SPDR sectors,9.1,1.590150787238315,0.0760757256605209,0.5636405574933396,-0.3177883164428466,3.4266694066237253,-0.3461103992758146,,,FAIL,
18,IDEA-010,ADX/DMI system,GLD,2.9,0.0497108283000904,0.0037445999826142,-0.0645131586931469,-0.0852745817822054,0.5406328332689652,-0.4532452206750047,,,FAIL,
19,IDEA-045,Dual SMA 10/30,GLD,10.1,0.3345679260187089,0.0224835483815604,0.1999131040066488,-0.3085387111016335,0.5406328332689652,-0.4532452206750047,,,FAIL,
20,IDEA-045,Dual SMA 10/30,SPY,8.1,0.8344388863397629,0.0478532487882059,0.4221671351196135,-0.1653211855073668,3.338272032196654,-0.3204897694856761,,,FAIL,
21,IDEA-046,Triple SMA 5/20/50,SPY,12.1,0.5127425794981819,0.0324029021793597,0.3443909512906264,-0.2281777392950041,3.338272032196654,-0.3204897694856761,,,FAIL,
22,IDEA-047,Absolute momentum vs T-bill,SPY (SHY cash),1.2,1.1175745527820409,0.0595045578643567,0.4164084842417674,-0.3799731431532465,3.338272032196654,-0.3204897694856761,,,FAIL,
23,IDEA-048,Dual momentum 4-asset,SPY/EFA/GLD/IEF (SHY cash),,,,,,,,,,ERROR,Encountered all NA values
24,IDEA-049,Ivy 5 tactical allocation,SPY/VEU/AGG/VNQ/GLD,6.5,0.6669553474995771,0.0401528633260492,0.4980233953257642,-0.0995169651934672,1.3234540904308183,-0.2360127390669082,,,FAIL,
25,IDEA-050,ADX-gated Golden Cross,SPY,6.8,0.3445429347764566,0.0230703016388884,0.2190618960839745,-0.2583784974228484,3.338272032196654,-0.3204897694856761,,,FAIL,
