target,cap,era,ret,cagr,sharpe,dd,bh,bhdd,verdict
0.15,1.0,2000-2009,0.22235645598131448,0.020321698552834944,0.035948734521050726,-0.4290811372272544,-0.5053505393058918,-0.8310170454197998,PASS
0.15,1.0,2010-2022,3.9488471276349664,0.13111054118615284,0.8677035479375489,-0.22443107533412188,5.42886034099324,-0.3669303629848333,FAIL
0.15,1.5,2000-2009,0.16387481685099425,0.015321843806726188,0.011610491230964496,-0.4290811372272544,-0.5053505393058918,-0.8310170454197998,PASS
0.15,1.5,2010-2022,4.879386208242384,0.14622491548795957,0.8610816259418932,-0.231900709584692,5.42886034099324,-0.3669303629848333,FAIL
0.15,2.0,2000-2009,0.15726756402470432,0.014742824920595199,0.008442242583935082,-0.4290811372272544,-0.5053505393058918,-0.8310170454197998,PASS
0.15,2.0,2010-2022,5.050781857476305,0.14876520815025973,0.8497072102297454,-0.2319007095846929,5.42886034099324,-0.3669303629848333,FAIL
0.2,1.0,2000-2009,0.10032754075098049,0.00962583065362943,0.009755637826381301,-0.5481865397029008,-0.5053505393058918,-0.8310170454197998,PASS
0.2,1.0,2010-2022,4.7995769859173505,0.14501863927909953,0.8469566989517777,-0.28714457417305406,5.42886034099324,-0.3669303629848333,FAIL
0.2,1.5,2000-2009,0.09360052462862423,0.009005645987224975,0.023463028100021346,-0.5481865397029008,-0.5053505393058918,-0.8310170454197998,PASS
0.2,1.5,2010-2022,6.9389956141559725,0.17305542698338017,0.8481303330106975,-0.29623136024651575,5.42886034099324,-0.3669303629848333,PASS
0.2,2.0,2000-2009,0.038041009515142,0.003747957833683868,0.004290948725745054,-0.5481865397029008,-0.5053505393058918,-0.8310170454197998,PASS
0.2,2.0,2010-2022,8.152215576221426,0.18597795538360384,0.8476440200363851,-0.30325577578394425,5.42886034099324,-0.3669303629848333,PASS
0.25,1.0,2000-2009,-0.04928484798310018,-0.005051325399020867,-0.0267796107942469,-0.6435243529871317,-0.5053505393058918,-0.8310170454197998,PASS
0.25,1.0,2010-2022,4.948884634657496,0.14726310144737642,0.8039687658056335,-0.331588889895542,5.42886034099324,-0.3669303629848333,FAIL
0.25,1.5,2000-2009,-0.009599376902661771,-0.0009660255318335587,0.01933022467564781,-0.6454106170086213,-0.5053505393058918,-0.8310170454197998,PASS
0.25,1.5,2010-2022,8.752174798926138,0.19179355069291137,0.841395485239332,-0.35649109723694516,5.42886034099324,-0.3669303629848333,PASS
0.25,2.0,2000-2009,-0.058191477330442276,-0.005989240890932224,0.013126318403389979,-0.6454106170086213,-0.5053505393058918,-0.8310170454197998,PASS
0.25,2.0,2010-2022,10.970349347225707,0.21075999177336846,0.8351767886667087,-0.36399959139630766,5.42886034099324,-0.3669303629848333,PASS
